x : f(x) : interpolation : error
-0.726198 : 0.456119 : 0.455663 : 0.000456312
-0.725198 : 0.455016 : 0.454568 : 0.000448233
-0.724198 : 0.453914 : 0.453474 : 0.000440242
-0.723198 : 0.452813 : 0.45238 : 0.000432339
-0.722198 : 0.451712 : 0.451288 : 0.000424523
-0.721198 : 0.450612 : 0.450196 : 0.000416794
-0.720198 : 0.449514 : 0.449104 : 0.00040915
-0.719198 : 0.448416 : 0.448014 : 0.000401591
-0.718198 : 0.447319 : 0.446924 : 0.000394117
-0.717198 : 0.446222 : 0.445836 : 0.000386727
-0.716198 : 0.445127 : 0.444748 : 0.000379421
-0.715198 : 0.444033 : 0.44366 : 0.000372197
-0.714198 : 0.442939 : 0.442574 : 0.000365055
-0.713198 : 0.441846 : 0.441488 : 0.000357995
-0.712198 : 0.440754 : 0.440403 : 0.000351017
-0.711198 : 0.439663 : 0.439319 : 0.000344118
-0.710198 : 0.438573 : 0.438236 : 0.0003373
-0.709198 : 0.437484 : 0.437154 : 0.00033056
-0.708198 : 0.436396 : 0.436072 : 0.0003239
-0.707198 : 0.435309 : 0.434991 : 0.000317318
-0.706198 : 0.434222 : 0.433911 : 0.000310813
-0.705198 : 0.433136 : 0.432832 : 0.000304386
-0.704198 : 0.432052 : 0.431754 : 0.000298034
-0.703198 : 0.430968 : 0.430676 : 0.000291759
-0.702198 : 0.429885 : 0.429599 : 0.000285559
-0.701198 : 0.428803 : 0.428523 : 0.000279434
-0.700198 : 0.427722 : 0.427448 : 0.000273384
-0.699198 : 0.426641 : 0.426374 : 0.000267407
-0.698198 : 0.425562 : 0.425301 : 0.000261503
-0.697198 : 0.424484 : 0.424228 : 0.000255671
-0.696198 : 0.423406 : 0.423156 : 0.000249912
-0.695198 : 0.422329 : 0.422085 : 0.000244224
-0.694198 : 0.421254 : 0.421015 : 0.000238608
-0.693198 : 0.420179 : 0.419946 : 0.000233061
-0.692198 : 0.419105 : 0.418877 : 0.000227585
-0.691198 : 0.418032 : 0.41781 : 0.000222178
-0.690198 : 0.41696 : 0.416743 : 0.00021684
-0.689198 : 0.415889 : 0.415677 : 0.00021157
-0.688198 : 0.414819 : 0.414612 : 0.000206368
-0.687198 : 0.413749 : 0.413548 : 0.000201233
-0.686198 : 0.412681 : 0.412485 : 0.000196165
-0.685198 : 0.411613 : 0.411422 : 0.000191163
-0.684198 : 0.410547 : 0.410361 : 0.000186227
